EquipID	Year	Make	Model	Description	Dept	SalePrice	SaleDate	AuctionHouse
5570	2000	KENWORTH	T800B	TRUCK - 12 YD DUMP - CLASS 8	SDOT	37600	4/17/2013 0:00	BIDADOO ONLINE AUCTION
33722	2003	PETERBILT	330	TRUCK - SERVICE BODY - CLASS 7	SPU	47500	11/8/2013 0:00	MURPHYS AUCTION
73938	2007	PETERBILT	330	TRUCK - FLATBED - CONCRETE - CLASS 6	DPR	41600	2/19/2014 0:00	BIDADOO ONLINE AUCTION
35520	2003	PETERBILT	320	TRUCK - EDUCTOR - VACTOR	SPU	82500	6/3/2014 0:00	MURPHYS AUCTION
58067	2005	TORO	4000-D	MOWER - 11` ROTARY	DPR	11100	9/17/2014 0:00	BIDADOO ONLINE AUCTION
31050	2003	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	SPD	5100	10/23/2014 0:00	MURPHYS AUCTION
31907	2003	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	SPU	7339	12/19/2013 0:00	BIDADOO ONLINE AUCTION
21550	2002	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	SDOT	3500	1/8/2015 0:00	MURPHYS AUCTION
31306	2003	TOYOTA	PRIUS	COMPACT SEDAN HYBRID	FAS	6750	9/27/2013 0:00	MURPHYS AUCTION
51419	2005	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	DPR	8111	11/6/2014 0:00	BIDADOO ONLINE AUCTION
52020	2005	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	DPD	7000	10/23/2014 0:00	MURPHYS AUCTION
31059	2003	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	SPD	5700	11/12/2014 0:00	BIDADOO ONLINE AUCTION
68049	2006	VERMEER	BC 1000-XL	CHIPPER - 12 IN	SPU	19000	11/8/2013 0:00	MURPHYS AUCTION
93009	2009	TOYOTA	SIENNA	PASSENGER MINIVAN	FAS	16100	4/17/2013 0:00	BIDADOO ONLINE AUCTION
E0943	1994	WESTMARK	TANKER TRAILER	TRAILER - ASPHALT TANKER - 7400 GALLON	SDOT	15600	7/9/2014 0:00	BIDADOO ONLINE AUCTION
58070	2005	JACOBSEN	6010	MOWER - 11` ROTARY	DPR	5750	8/9/2013 0:00	MURPHYS AUCTION
55754	2005	STERLING	SC8000	SWEEPER - REGENERATIVE AIR	SDOT	35300	4/30/2013 0:00	BIDADOO ONLINE AUCTION
75742	2007	STERLING	SC8000	SWEEPER - REGENERATIVE AIR	SDOT	36600	8/6/2013 0:00	BIDADOO ONLINE AUCTION
51164	2005	TAYLOR DUNN	SC-100-36	STOCK CHASER - ELECTRIC - 36 V	CEN	1803	2/11/2014 0:00	BIDADOO ONLINE AUCTION
33632	2003	FORD	F450	PICKUP FLATBED PLOW	SDOT	19000	7/9/2014 0:00	BIDADOO ONLINE AUCTION
53665	2005	FORD	F450	PICKUP - DUMPING FLATBED - CLASS 4	SDOT	13100	8/27/2014 0:00	BIDADOO ONLINE AUCTION
73293	2007	DODGE	GRAND CARAVAN	CARGO MINIVAN	SPU	1600	2/25/2015 0:00	MURPHYS AUCTION
77305	2007	SEGWAY	I2	ELECTRIC PERSONAL MOBILITY DEVICE	SPD	1526	3/4/2015 0:00	BIDADOO ONLINE AUCTION
36537	2003	CATERPILLAR	420D	BACKHOE LOADER - 16000 LB	SPU	36500	12/19/2014 0:00	MURPHYS AUCTION
7022	1991	PWBS	UNKNOWN	FLOOR SCRUBBER	FAS	990.1	10/8/2014 0:00	BIDADOO ONLINE AUCTION
54595	2005	CHEVROLET	ASTRO	CARGO MINIVAN	SPU	9100	10/23/2014 0:00	MURPHYS AUCTION
23441	2002	CHEVROLET	EXPRESS	PASSENGER VAN	DPR	6800	3/28/2013 0:00	MURPHYS AUCTION
13034	2001	CHEVROLET	EXPRESS	CARGO VAN - ELECTRICIAN	FAS	9445	11/6/2014 0:00	BIDADOO ONLINE AUCTION
11401	2001	CHEVROLET	MALIBU	MIDSIZE SEDAN	DOIT	2100	4/21/2014 0:00	MURPHYS AUCTION
983903	1998	CHEVROLET	P30	WALKIN VAN - CLASS 3	DPR	2001	8/20/2014 0:00	BIDADOO ONLINE AUCTION
33118	2003	CHEVROLET	TRACKER	COMPACT SUV - 4X4	HEALTH	3000	2/6/2013 0:00	MURPHYS AUCTION
33532	2003	GMC	WORK HORSE	WALKIN VAN - CLASS 4	FAS	13000	3/28/2013 0:00	MURPHYS AUCTION
7124	1992	CLARKLIFT	FORKLIFT	FORKLIFT	SPD	3151.5	2/19/2014 0:00	BIDADOO ONLINE AUCTION
S2557	1998	WESTERN	TRAILER	TRAILER - 7000 LB DUMP	SPU	3000	11/8/2013 0:00	MURPHYS AUCTION
W2256	1995	NW CUSTOM	TRAILER	TRAILER	SPU	2300	2/3/2014 0:00	MURPHYS AUCTION
53574	2005	DODGE	CARAVAN	CARGO MINIVAN	SPU	5300	12/20/2013 0:00	MURPHYS AUCTION
